"Company name","Code",
"LIFE360 INC.","360",
"3P LEARNING LIMITED..","3PL",
"THE A2 MILK COMPANY LIMITED","A2M",
"AUSWIDE BANK LTD","ABA",
"AUSSIE BROADBAND LIMITED","ABB",
"ABACUS GROUP","ABG",
"GLOBAL X BATTERY TECH & LITHIUM ETF","ACDC",
"AUSTRALIAN CLINICAL LABS LIMITED","ACL",
"AUDINATE GROUP LIMITED","AD8",
"ADAIRS LIMITED","ADH",
"ADRIATIC METALS PLC","ADT",
"AUSTRALIAN ETHICAL INVESTMENT LIMITED","AEF",
"AUSTRALIAN FINANCE GROUP LTD","AFG",
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","AFI",
"AINSWORTH GAME TECHNOLOGY LIMITED","AGI",
"AGL ENERGY LIMITED.","AGL",
"ANTIPODES GLOBAL SHARES (QUOTED MANAGED FUND)","AGX1",
"AUCKLAND INTERNATIONAL AIRPORT LIMITED","AIA",
"AUDIO PIXELS HOLDINGS LIMITED","AKP",
"AMPOL LIMITED","ALD",
"ARISTOCRAT LEISURE LIMITED","ALL",
"ALS LIMITED","ALQ",
"ALTIUM LIMITED","ALU",
"ATLAS ARTERIA","ALX",
"AMCOR PLC","AMC",
"ANSELL LIMITED","ANN",
"ANZ GROUP HOLDINGS LIMITED","ANZ",
"AUSTRALIAN UNITY OFFICE FUND","AOF",
"APA GROUP","APA",
"EAGERS AUTOMOTIVE LIMITED","APE",
"APM HUMAN SERVICES INTERNATIONAL LIMITED","APM",
"ASPEN GROUP","APZ",
"ARB CORPORATION LIMITED.","ARB",
"ARENA REIT.","ARF",
"ARGO INVESTMENTS LIMITED","ARG",
"AUSTAL LIMITED","ASB",
"AUTOSPORTS GROUP LIMITED.","ASG",
"BETASHARES ASIA TECHNOLOGY TIGERS ETF","ASIA",
"ABACUS STORAGE KING","ASK",
"AUSTRALIAN STRATEGIC MATERIALS LIMITED","ASM",
"ASX LIMITED","ASX",
"AUB GROUP LIMITED","AUB",
"ANTERIS TECHNOLOGIES LTD","AVR",
"ALUMINA LIMITED","AWC",
"ACCENT GROUP LIMITED","AX1",
"AURIZON HOLDINGS LIMITED","AZJ",
"BAPCOR LIMITED","BAP",
"BABY BUNTING GROUP LIMITED","BBN",
"BETASHARES AUSTRALIAN STRONG BEAR (HEDGE FUND)","BBOZ",
"BETASHARES US EQY STRONG BEAR - CH (HEDGE FUND)","BBUS",
"BETASHARES AUSTRALIAN EQUITIES BEAR (HEDGE FUND)","BEAR",
"BENDIGO AND ADELAIDE BANK LIMITED","BEN",
"BELL FINANCIAL GROUP LIMITED","BFG",
"BEGA CHEESE LIMITED","BGA",
"BELLEVUE GOLD LIMITED","BGL",
"BHP GROUP LIMITED","BHP",
"BETASHARES AUSTRALIAN MAJOR BANK HYBRIDS INDEX ETF","BHYB",
"BRICKWORKS LIMITED","BKW",
"BORAL LIMITED.","BLD",
"BOSS ENERGY LTD","BOE",
"BANK OF QUEENSLAND LIMITED.","BOQ",
"BEACH ENERGY LIMITED","BPT",
"BREVILLE GROUP LIMITED","BRG",
"BLUESCOPE STEEL LIMITED","BSL",
"BRAMBLES LIMITED","BXB",
"CAR GROUP LIMITED","CAR",
"CATAPULT GROUP INTERNATIONAL LTD","CAT",
"COMMONWEALTH BANK OF AUSTRALIA.","CBA",
"CREDIT CORP GROUP LIMITED","CCP",
"CODAN LIMITED","CDA",
"CARINDALE PROPERTY TRUST","CDP",
"CHALLENGER LIMITED","CGF",
"COGSTATE LTD","CGS",
"CHARTER HALL GROUP","CHC",
"CHALICE MINING LIMITED","CHN",
"CHAMPION IRON LIMITED","CIA",
"CENTURIA INDUSTRIAL REIT","CIP",
"COLLINS FOODS LIMITED","CKF",
"VANECK GLOBAL CLEAN ENERGY ETF","CLNE",
"CHARTER HALL LONG WALE REIT","CLW",
"CAPRICORN METALS LTD","CMM",
"CENTURIA CAPITAL GROUP","CNI",
"CHORUS LIMITED","CNU",
"CENTURIA OFFICE REIT","COF",
"COG FINANCIAL SERVICES LIMITED","COG",
"COCHLEAR LIMITED","COH",
"COLES GROUP LIMITED.","COL",
"COMPUTERSHARE LIMITED.","CPU",
"CHARTER HALL SOCIAL INFRASTRUCTURE REIT","CQE",
"CHARTER HALL RETAIL REIT","CQR",
"CORONADO GLOBAL RESOURCES INC.","CRN",
"BETASHARES CRYPTO INNOVATORS ETF","CRYP",
"CSL LIMITED","CSL",
"CORPORATE TRAVEL MANAGEMENT LIMITED","CTD",
"CETTIRE LIMITED","CTT",
"CLINUVEL PHARMACEUTICALS LIMITED","CUV",
"CVC LIMITED","CVC",
"CEDAR WOODS PROPERTIES LIMITED","CWP",
"CLEANAWAY WASTE MANAGEMENT LIMITED","CWY",
"CALIX LIMITED","CXL",
"DUXTON WATER LIMITED","D2O",
"DALRYMPLE BAY INFRASTRUCTURE LIMITED","DBI",
"DICKER DATA LIMITED","DDR",
"DE GREY MINING LIMITED","DEG",
"DIMENSIONAL GLOBAL CORE EQ UNHGD (MANAGED FUND)","DGCE",
"DOMAIN HOLDINGS AUSTRALIA LIMITED.","DHG",
"DOMINO'S PIZZA ENTERPRISES LIMITED","DMP",
"DOWNER EDI LIMITED","DOW",
"DETERRA ROYALTIES LIMITED","DRR",
"DATA#3 LIMITED","DTL",
"DEXUS CONVENIENCE RETAIL REIT","DXC",
"DEXUS INDUSTRIA REIT.","DXI",
"DEXUS","DXS",
"DEEP YELLOW LIMITED","DYL",
