Folder: 360 (Unknown), Percentage Decrease: 1.91%, Last Cost: 12.84000015258789
Folder: 3PL (Unknown), Percentage Decrease: 0.80%, Last Cost: 1.2400000095367432
Folder: ABA (Unknown), Percentage Decrease: 0.68%, Last Cost: 4.380000114440918
Folder: ABB (Unknown), Percentage Decrease: 2.48%, Last Cost: 3.5399999618530273
Folder: AGI (Unknown), Percentage Decrease: 0.40%, Last Cost: 1.2300000190734863
Folder: AGL (Unknown), Percentage Decrease: 0.48%, Last Cost: 8.270000457763672
Folder: ALD (Unknown), Percentage Decrease: 0.73%, Last Cost: 39.470001220703125
Folder: AMC (Unknown), Percentage Decrease: 0.07%, Last Cost: 14.149999618530273
Folder: APA (Unknown), Percentage Decrease: 0.60%, Last Cost: 8.289999961853027
Folder: APZ (Unknown), Percentage Decrease: 0.86%, Last Cost: 1.7350000143051147
Folder: ARB (Unknown), Percentage Decrease: 0.10%, Last Cost: 41.2400016784668
Folder: ASB (Unknown), Percentage Decrease: 0.45%, Last Cost: 2.200000047683716
Folder: ASM (Unknown), Percentage Decrease: 4.55%, Last Cost: 1.3650000095367432
Folder: ASX (Unknown), Percentage Decrease: 0.52%, Last Cost: 65.19999694824219
Folder: BBOZ (Unknown), Percentage Decrease: 1.05%, Last Cost: 2.8299999237060547
Folder: BEAR (Unknown), Percentage Decrease: 0.44%, Last Cost: 7.894999980926514
Folder: BFG (Unknown), Percentage Decrease: 1.47%, Last Cost: 1.340000033378601
Folder: BGL (Unknown), Percentage Decrease: 0.81%, Last Cost: 1.8350000381469727
Folder: BKW (Unknown), Percentage Decrease: 0.14%, Last Cost: 27.90999984741211
Folder: BOE (Unknown), Percentage Decrease: 3.14%, Last Cost: 4.630000114440918
Folder: BPT (Unknown), Percentage Decrease: 0.84%, Last Cost: 1.7699999809265137
Folder: BSL (Unknown), Percentage Decrease: 0.09%, Last Cost: 23.0
Folder: CAR (Unknown), Percentage Decrease: 0.78%, Last Cost: 35.70000076293945
Folder: CAT (Unknown), Percentage Decrease: 7.26%, Last Cost: 1.4700000286102295
Folder: CDA (Unknown), Percentage Decrease: 1.55%, Last Cost: 10.8100004196167
Folder: CDP (Unknown), Percentage Decrease: 0.46%, Last Cost: 4.340000152587891
Folder: CGS (Unknown), Percentage Decrease: 2.29%, Last Cost: 1.2799999713897705
Folder: CHC (Unknown), Percentage Decrease: 0.74%, Last Cost: 13.479999542236328
Folder: CHN (Unknown), Percentage Decrease: 2.43%, Last Cost: 1.0049999952316284
Folder: CKF (Unknown), Percentage Decrease: 0.49%, Last Cost: 10.119999885559082
Folder: CNI (Unknown), Percentage Decrease: 2.23%, Last Cost: 1.75
Folder: CNU (Unknown), Percentage Decrease: 0.29%, Last Cost: 6.96999979019165
Folder: CRYP (Unknown), Percentage Decrease: 0.71%, Last Cost: 5.590000152587891
Folder: CTD (Unknown), Percentage Decrease: 0.88%, Last Cost: 16.90999984741211
Folder: DMP (Unknown), Percentage Decrease: 0.49%, Last Cost: 42.58000183105469
Folder: DTL (Unknown), Percentage Decrease: 2.48%, Last Cost: 8.25
Folder: DXS (Unknown), Percentage Decrease: 0.38%, Last Cost: 7.769999980926514
Folder: DYL (Unknown), Percentage Decrease: 1.49%, Last Cost: 1.3200000524520874
Folder: EBO (Unknown), Percentage Decrease: 0.85%, Last Cost: 31.34000015258789
Folder: ESPO (Unknown), Percentage Decrease: 0.08%, Last Cost: 11.90999984741211
Folder: ETPMAG (Unknown), Percentage Decrease: 0.77%, Last Cost: 34.72999954223633
Folder: EVT (Unknown), Percentage Decrease: 0.58%, Last Cost: 12.079999923706055
Folder: FLT (Unknown), Percentage Decrease: 0.14%, Last Cost: 21.440000534057617
Folder: FMG (Unknown), Percentage Decrease: 0.04%, Last Cost: 25.190000534057617
Folder: FPH (Unknown), Percentage Decrease: 0.12%, Last Cost: 24.329999923706055
Folder: GEM (Unknown), Percentage Decrease: 0.40%, Last Cost: 1.2400000095367432
Folder: GOR (Unknown), Percentage Decrease: 1.27%, Last Cost: 1.559999942779541
Folder: GUD (Unknown), Percentage Decrease: 0.42%, Last Cost: 11.84000015258789
Folder: GWA (Unknown), Percentage Decrease: 3.31%, Last Cost: 2.630000114440918
Folder: HMC (Unknown), Percentage Decrease: 1.13%, Last Cost: 7.0
Folder: HPI (Unknown), Percentage Decrease: 0.61%, Last Cost: 3.2699999809265137
Folder: HSN (Unknown), Percentage Decrease: 0.41%, Last Cost: 4.820000171661377
Folder: HUB (Unknown), Percentage Decrease: 0.50%, Last Cost: 41.88999938964844
Folder: IFRA (Unknown), Percentage Decrease: 0.40%, Last Cost: 19.809999465942383
Folder: IGO (Unknown), Percentage Decrease: 1.00%, Last Cost: 6.900000095367432
Folder: IMD (Unknown), Percentage Decrease: 0.43%, Last Cost: 2.3299999237060547
Folder: IPH (Unknown), Percentage Decrease: 1.14%, Last Cost: 6.070000171661377
Folder: IPL (Unknown), Percentage Decrease: 2.74%, Last Cost: 2.8399999141693115
Folder: IRE (Unknown), Percentage Decrease: 1.54%, Last Cost: 8.3100004196167
Folder: JDO (Unknown), Percentage Decrease: 0.77%, Last Cost: 1.2899999618530273
Folder: LNW (Unknown), Percentage Decrease: 1.22%, Last Cost: 160.5
Folder: LSF (Unknown), Percentage Decrease: 0.70%, Last Cost: 2.8299999237060547
Folder: LTM (Unknown), Percentage Decrease: 2.80%, Last Cost: 6.260000228881836
Folder: LYC (Unknown), Percentage Decrease: 1.07%, Last Cost: 5.53000020980835
Folder: MAF (Unknown), Percentage Decrease: 0.20%, Last Cost: 4.909999847412109
Folder: MAQ (Unknown), Percentage Decrease: 1.07%, Last Cost: 78.80000305175781
Folder: MGH (Unknown), Percentage Decrease: 0.45%, Last Cost: 4.460000038146973
Folder: MGR (Unknown), Percentage Decrease: 0.86%, Last Cost: 2.309999942779541
Folder: MP1 (Unknown), Percentage Decrease: 0.74%, Last Cost: 14.819999694824219
Folder: MQG (Unknown), Percentage Decrease: 0.30%, Last Cost: 197.89999389648438
Folder: NEC (Unknown), Percentage Decrease: 0.30%, Last Cost: 1.6699999570846558
Folder: NSR (Unknown), Percentage Decrease: 0.42%, Last Cost: 2.369999885559082
Folder: NUF (Unknown), Percentage Decrease: 0.57%, Last Cost: 5.260000228881836
Folder: NWH (Unknown), Percentage Decrease: 0.35%, Last Cost: 2.8499999046325684
Folder: NWL (Unknown), Percentage Decrease: 1.86%, Last Cost: 21.15999984741211
Folder: NXT (Unknown), Percentage Decrease: 1.29%, Last Cost: 17.579999923706055
Folder: OOO (Unknown), Percentage Decrease: 1.00%, Last Cost: 5.96999979019165
Folder: ORI (Unknown), Percentage Decrease: 1.22%, Last Cost: 17.850000381469727
Folder: PAC (Unknown), Percentage Decrease: 1.66%, Last Cost: 10.100000381469727
Folder: PDN (Unknown), Percentage Decrease: 2.50%, Last Cost: 1.3650000095367432
Folder: PMV (Unknown), Percentage Decrease: 2.91%, Last Cost: 31.06999969482422
Folder: PNI (Unknown), Percentage Decrease: 1.93%, Last Cost: 11.65999984741211
Folder: PSQ (Unknown), Percentage Decrease: 0.31%, Last Cost: 1.600000023841858
Folder: PTM (Unknown), Percentage Decrease: 21.07%, Last Cost: 1.0299999713897705
Folder: PWH (Unknown), Percentage Decrease: 0.35%, Last Cost: 11.529999732971191
Folder: PWR (Unknown), Percentage Decrease: 0.89%, Last Cost: 2.2300000190734863
Folder: QRI (Unknown), Percentage Decrease: 0.31%, Last Cost: 1.6200000047683716
Folder: RDY (Unknown), Percentage Decrease: 1.20%, Last Cost: 3.2799999713897705
Folder: REA (Unknown), Percentage Decrease: 0.05%, Last Cost: 185.9199981689453
Folder: RIO (Unknown), Percentage Decrease: 0.40%, Last Cost: 120.93000030517578
Folder: RMC (Unknown), Percentage Decrease: 3.67%, Last Cost: 1.0499999523162842
Folder: RWC (Unknown), Percentage Decrease: 0.87%, Last Cost: 5.690000057220459
Folder: SDR (Unknown), Percentage Decrease: 0.18%, Last Cost: 5.559999942779541
Folder: SOL (Unknown), Percentage Decrease: 1.01%, Last Cost: 33.25
Folder: SPK (Unknown), Percentage Decrease: 0.23%, Last Cost: 4.380000114440918
Folder: STW (Unknown), Percentage Decrease: 0.54%, Last Cost: 70.37999725341797
Folder: SUL (Unknown), Percentage Decrease: 0.06%, Last Cost: 15.600000381469727
Folder: SVR (Unknown), Percentage Decrease: 1.85%, Last Cost: 1.059999942779541
Folder: SYI (Unknown), Percentage Decrease: 1.12%, Last Cost: 28.350000381469727
Folder: TNE (Unknown), Percentage Decrease: 1.00%, Last Cost: 16.75
Folder: TPG (Unknown), Percentage Decrease: 0.90%, Last Cost: 4.409999847412109
Folder: TRJ (Unknown), Percentage Decrease: 3.08%, Last Cost: 1.100000023841858
